name,sku,availability,warehouse,country,description
Wireless Bluetooth Headphones,WBH-001,150,UK-LON-01,United Kingdom,Premium noise-cancelling headphones with 30-hour battery life
Gaming Laptop RTX 4070,GL-002,25,DE-BER-01,Germany,High-performance gaming laptop with RTX 4070 graphics card
Organic Cotton T-Shirt,OCT-003,300,FR-PAR-01,France,Sustainable organic cotton t-shirt in multiple colors
Smart Fitness Tracker,SFT-004,180,US-NYC-01,United States,Advanced health monitoring with heart rate and GPS
Professional DSLR Camera,PDC-005,45,CA-TOR-01,Canada,24MP full-frame camera with 4K video recording
Ceramic Coffee Mug Set,CCM-006,220,UK-LON-01,United Kingdom,Handcrafted ceramic mugs set of 4 with gift box
Resistance Band Exercise Kit,RBE-007,95,AU-SYD-01,Australia,Complete resistance training set with multiple bands
Wooden Dining Table,WDT-008,12,US-LAX-01,United States,Solid oak dining table seats 6 people
Smartphone iPhone 15 Pro,SIP-009,75,JP-TOK-01,Japan,Latest iPhone with titanium design and advanced camera
Smart Home Security Camera,SHS-010,140,NL-AMS-01,Netherlands,4K security camera with AI motion detection
Leather Business Briefcase,LBB-011,60,IT-MIL-01,Italy,Genuine leather briefcase with laptop compartment
Educational Building Blocks,EBB-012,200,CN-SHA-01,China,STEM learning blocks for children ages 3-8
Stainless Steel Cookware Set,SSC-013,85,DE-BER-01,Germany,Professional 12-piece stainless steel cookware
Running Shoes Athletic,RSA-014,175,US-NYC-01,United States,Lightweight running shoes with advanced cushioning
Smartwatch Apple Watch Series 9,SAW-015,90,UK-LON-01,United Kingdom,Latest Apple Watch with health monitoring features
Portable Bluetooth Speaker,PBS-016,160,KR-SEO-01,South Korea,Waterproof portable speaker with 20-hour battery
Ergonomic Office Chair,EOC-017,35,CA-TOR-01,Canada,Adjustable ergonomic chair with lumbar support
Skincare Anti-Aging Serum,SAS-018,120,FR-PAR-01,France,Premium anti-aging serum with vitamin C and retinol
Electric Toothbrush Sonic,ETS-019,110,DE-BER-01,Germany,Sonic electric toothbrush with multiple cleaning modes
Yoga Mat Premium,YMP-020,145,IN-MUM-01,India,Eco-friendly yoga mat with alignment guides